LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PR
1740487278.458173,3155451.000,49685,3,PR,1,100,164279
1740487278.498174,3155491.000,49701,3,PR,1,100,164297
1740487278.538176,3155531.000,49701,3,PR,1,100,164359
1740487278.578177,3155571.000,49701,3,PR,1,100,164354
1740487278.618179,3155611.000,49718,2,PR,1,100,164387
1740487278.658181,3155651.000,49718,2,PR,1,100,164396
1740487278.698182,3155691.000,49734,3,PR,1,100,164437
1740487278.738184,3155731.000,49734,3,PR,1,100,164421
1740487278.778186,3155771.000,49734,3,PR,1,100,164223
1740487278.818187,3155811.000,49751,2,PR,1,100,163755
1740487278.858189,3155851.000,49751,2,PR,1,100,163680
1740487278.898191,3155891.000,49766,3,PR,1,100,163857
1740487278.938192,3155931.000,49766,3,PR,1,100,164067
1740487278.978194,3155971.000,49766,3,PR,1,100,164200
1740487279.018195,3156011.000,49785,2,PR,1,100,164245
1740487279.058197,3156051.000,49785,2,PR,1,100,164267
1740487279.098199,3156091.000,49809,4,PR,1,100,164218
1740487279.138200,3156131.000,49809,4,PR,1,100,164216
1740487279.178202,3156171.000,49809,4,PR,1,100,164236
1740487279.218204,3156211.000,49809,4,PR,1,100,164252
1740487279.258205,3156251.000,49826,2,PR,1,100,164277
1740487279.298207,3156291.000,49826,2,PR,1,100,164308
1740487279.342542,3156335.333,49842,3,PR,1,100,164322
1740487279.386877,3156379.667,49842,3,PR,1,100,164334
1740487279.431212,3156424.000,49842,3,PR,1,100,164362
1740487279.471214,3156464.000,49858,2,PR,1,100,164179
1740487279.511216,3156504.000,49858,2,PR,1,100,163730
1740487279.551217,3156544.000,49874,3,PR,1,100,163644
1740487279.591219,3156584.000,49874,3,PR,1,100,163810
1740487279.631221,3156624.000,49874,3,PR,1,100,164025
1740487279.671222,3156664.000,49891,2,PR,1,100,164144
1740487279.711224,3156704.000,49891,2,PR,1,100,164226
1740487279.751225,3156744.000,49910,3,PR,1,100,164224
1740487279.791227,3156784.000,49910,3,PR,1,100,164195
1740487279.831229,3156824.000,49910,3,PR,1,100,164156
1740487279.871230,3156864.000,49925,2,PR,1,100,164189
1740487279.911232,3156904.000,49925,2,PR,1,100,164225
1740487279.951234,3156944.000,49941,3,PR,1,100,164298
1740487279.991235,3156984.000,49941,3,PR,1,100,164313
1740487280.031237,3157024.000,49941,3,PR,1,100,164330
1740487280.071239,3157064.000,49959,2,PR,1,100,164325
1740487280.111240,3157104.000,49959,2,PR,1,100,164344
1740487280.151242,3157144.000,49975,3,PR,1,100,164348
1740487280.191243,3157184.000,49975,3,PR,1,100,164260
1740487280.231245,3157224.000,49975,3,PR,1,100,163801
1740487280.271247,3157264.000,49990,2,PR,1,100,163562
1740487280.311248,3157304.000,49990,2,PR,1,100,163652
1740487280.351250,3157344.000,50006,3,PR,1,100,163845
1740487280.391252,3157384.000,50006,3,PR,1,100,164002
1740487280.431253,3157424.000,50006,3,PR,1,100,164097
1740487280.471255,3157464.000,50026,3,PR,1,100,164125
1740487280.511257,3157504.000,50026,3,PR,1,100,164116
1740487280.551258,3157544.000,50026,3,PR,1,100,164079
1740487280.591260,3157584.000,50042,2,PR,1,100,164058
1740487280.631262,3157624.000,50042,2,PR,1,100,164096
1740487280.671263,3157664.000,50058,3,PR,1,100,164170
1740487280.711265,3157704.000,50058,3,PR,1,100,164201
1740487280.751266,3157744.000,50058,3,PR,1,100,164228
1740487280.791268,3157784.000,50074,3,PR,1,100,164250
1740487280.831270,3157824.000,50074,3,PR,1,100,164275
1740487280.871271,3157864.000,50074,3,PR,1,100,164282
1740487280.911273,3157904.000,50091,2,PR,1,100,164172
1740487280.951275,3157944.000,50091,2,PR,1,100,163642
1740487280.991276,3157984.000,50107,3,PR,1,100,163435
1740487281.031278,3158024.000,50107,3,PR,1,100,163528
1740487281.071280,3158064.000,50107,3,PR,1,100,163737
1740487281.111281,3158104.000,50125,2,PR,1,100,163891
1740487281.151283,3158144.000,50125,2,PR,1,100,163980
1740487281.191284,3158184.000,50142,3,PR,1,100,164014
1740487281.231286,3158224.000,50142,3,PR,1,100,164006
1740487281.271288,3158264.000,50142,3,PR,1,100,163979
1740487281.311289,3158304.000,50158,2,PR,1,100,163990
1740487281.351291,3158344.000,50158,2,PR,1,100,164060
1740487281.391293,3158384.000,50175,3,PR,1,100,164117
1740487281.431294,3158424.000,50175,3,PR,1,100,164143
1740487281.471296,3158464.000,50175,3,PR,1,100,164181
1740487281.511298,3158504.000,50192,3,PR,1,100,164199
1740487281.551299,3158544.000,50192,3,PR,1,100,164228
1740487281.591301,3158584.000,50192,3,PR,1,100,164245
1740487281.637803,3158630.500,50208,2,PR,1,100,164253
1740487281.684305,3158677.000,50208,2,PR,1,100,164018
