LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PI
1709495477.086051,67750.000,8457,3,PI,1,100,159593
1709495477.126052,67790.000,8457,3,PI,1,100,159376
1709495477.166052,67830.000,8472,2,PI,1,100,158391
1709495477.206053,67870.000,8472,2,PI,1,100,157468
1709495477.246053,67910.000,8488,3,PI,1,100,157158
1709495477.286054,67950.000,8488,3,PI,1,100,157165
1709495477.326054,67990.000,8488,3,PI,1,100,157188
1709495477.366054,68030.000,8506,2,PI,1,100,157234
1709495477.406055,68070.000,8506,2,PI,1,100,157367
1709495477.446055,68110.000,8522,3,PI,1,100,157379
1709495477.486056,68150.000,8522,3,PI,1,100,157234
1709495477.526056,68190.000,8522,3,PI,1,100,157138
1709495477.566057,68230.000,8537,2,PI,1,100,157150
1709495477.606057,68270.000,8537,2,PI,1,100,157234
1709495477.646058,68310.000,8555,3,PI,1,100,157391
1709495477.686058,68350.000,8555,3,PI,1,100,157509
1709495477.726059,68390.000,8555,3,PI,1,100,157664
1709495477.766059,68430.000,8573,2,PI,1,100,157763
1709495477.806059,68470.000,8573,2,PI,1,100,157874
1709495477.846060,68510.000,8589,3,PI,1,100,157986
1709495477.886060,68550.000,8589,3,PI,1,100,158062
1709495477.926061,68590.000,8589,3,PI,1,100,158183
1709495477.966061,68630.000,8604,2,PI,1,100,158272
1709495478.006062,68670.000,8604,2,PI,1,100,158395
1709495478.046062,68710.000,8621,3,PI,1,100,158537
1709495478.086063,68750.000,8621,3,PI,1,100,158673
1709495478.126063,68790.000,8621,3,PI,1,100,158800
1709495478.166064,68830.000,8638,2,PI,1,100,158937
1709495478.206064,68870.000,8638,2,PI,1,100,159054
1709495478.246064,68910.000,8654,3,PI,1,100,159168
1709495478.286065,68950.000,8654,3,PI,1,100,159290
1709495478.326065,68990.000,8654,3,PI,1,100,159444
1709495478.366066,69030.000,8671,4,PI,1,100,159602
1709495478.406066,69070.000,8671,4,PI,1,100,159459
1709495478.446067,69110.000,8671,4,PI,1,100,158569
1709495478.486067,69150.000,8671,4,PI,1,100,157709
1709495478.526068,69190.000,8687,3,PI,1,100,157387
1709495478.566068,69230.000,8687,3,PI,1,100,157408
1709495478.606069,69270.000,8687,3,PI,1,100,157521
1709495478.652569,69316.500,8704,2,PI,1,100,157675
1709495478.699070,69363.000,8704,2,PI,1,100,157810
1709495478.739070,69403.000,8719,3,PI,1,100,157812
1709495478.779070,69443.000,8719,3,PI,1,100,157648
1709495478.819071,69483.000,8719,3,PI,1,100,157540
1709495478.859071,69523.000,8736,2,PI,1,100,157566
1709495478.899072,69563.000,8736,2,PI,1,100,157684
1709495478.939072,69603.000,8754,3,PI,1,100,157814
1709495478.979073,69643.000,8754,3,PI,1,100,157931
1709495479.019073,69683.000,8754,3,PI,1,100,158060
1709495479.059074,69723.000,8772,2,PI,1,100,158175
1709495479.099074,69763.000,8772,2,PI,1,100,158263
1709495479.139075,69803.000,8786,3,PI,1,100,158386
1709495479.179075,69843.000,8786,3,PI,1,100,158464
1709495479.219075,69883.000,8786,3,PI,1,100,158551
1709495479.259076,69923.000,8803,2,PI,1,100,158645
1709495479.299076,69963.000,8803,2,PI,1,100,158752
1709495479.339077,70003.000,8820,3,PI,1,100,158866
1709495479.379077,70043.000,8820,3,PI,1,100,158982
1709495479.419078,70083.000,8820,3,PI,1,100,159080
1709495479.459078,70123.000,8837,2,PI,1,100,159198
1709495479.499079,70163.000,8837,2,PI,1,100,159358
1709495479.539079,70203.000,8851,3,PI,1,100,159486
1709495479.579080,70243.000,8851,3,PI,1,100,159450
1709495479.619080,70283.000,8851,3,PI,1,100,158682
1709495479.659080,70323.000,8868,3,PI,1,100,157756
1709495479.699081,70363.000,8868,3,PI,1,100,157295
1709495479.739081,70403.000,8868,3,PI,1,100,157266
1709495479.779082,70443.000,8887,2,PI,1,100,157316
1709495479.819082,70483.000,8887,2,PI,1,100,157425
1709495479.859083,70523.000,8904,3,PI,1,100,157570
1709495479.899083,70563.000,8904,3,PI,1,100,157638
1709495479.939084,70603.000,8904,3,PI,1,100,157510
1709495479.979084,70643.000,8918,2,PI,1,100,157385
1709495480.019085,70683.000,8918,2,PI,1,100,157360
1709495480.059085,70723.000,8936,3,PI,1,100,157464
1709495480.099085,70763.000,8936,3,PI,1,100,157595
1709495480.139086,70803.000,8936,3,PI,1,100,157757
1709495480.179086,70843.000,8954,2,PI,1,100,157904
1709495480.219087,70883.000,8954,2,PI,1,100,158025
1709495480.259087,70923.000,8971,3,PI,1,100,158162
1709495480.299088,70963.000,8971,3,PI,1,100,158303
1709495480.339088,71003.000,8971,3,PI,1,100,158408
1709495480.379089,71043.000,8987,2,PI,1,100,158520
1709495480.419089,71083.000,8987,2,PI,1,100,158629
1709495480.459090,71123.000,9003,3,PI,1,100,158749
1709495480.499090,71163.000,9003,3,PI,1,100,158878
1709495480.539090,71203.000,9003,3,PI,1,100,159019
1709495480.579091,71243.000,9019,2,PI,1,100,159148
1709495480.619091,71283.000,9019,2,PI,1,100,159259
1709495480.659092,71323.000,9037,3,PI,1,100,159409
1709495480.699092,71363.000,9037,3,PI,1,100,159571
1709495480.739093,71403.000,9037,3,PI,1,100,159734
1709495480.779093,71443.000,9053,2,PI,1,100,159860
1709495480.819094,71483.000,9053,2,PI,1,100,159680
1709495480.859094,71523.000,9068,3,PI,1,100,158776
1709495480.899095,71563.000,9068,3,PI,1,100,157960
1709495480.939095,71603.000,9068,3,PI,1,100,157650
1709495480.979095,71643.000,9084,3,PI,1,100,157717
1709495481.019096,71683.000,9084,3,PI,1,100,157859
1709495481.059096,71723.000,9084,3,PI,1,100,158062
1709495481.099097,71763.000,9102,2,PI,1,100,158173
1709495481.139097,71803.000,9102,2,PI,1,100,158076
1709495481.179098,71843.000,9118,2,PI,1,100,157882
1709495481.219098,71883.000,9118,2,PI,1,100,157758
1709495481.263432,71927.333,9133,3,PI,1,100,157816
1709495481.307766,71971.667,9133,3,PI,1,100,157932
1709495481.352100,72016.000,9133,3,PI,1,100,158082
1709495481.392100,72056.000,9152,2,PI,1,100,158198
1709495481.432101,72096.000,9152,2,PI,1,100,158329
1709495481.472101,72136.000,9169,3,PI,1,100,158440
1709495481.512102,72176.000,9169,3,PI,1,100,158536
1709495481.552102,72216.000,9169,3,PI,1,100,158616
1709495481.592102,72256.000,9185,2,PI,1,100,158678
1709495481.632103,72296.000,9185,2,PI,1,100,158755
1709495481.672437,72336.333,9201,3,PI,1,100,158823
1709495481.712770,72376.667,9201,3,PI,1,100,158935
1709495481.753104,72417.000,9201,3,PI,1,100,159062
1709495481.792605,72456.500,9217,2,PI,1,100,159239
1709495481.832105,72496.000,9217,2,PI,1,100,159343
1709495481.872106,72536.000,9239,3,PI,1,100,158872
1709495481.912106,72576.000,9239,3,PI,1,100,157926
1709495481.952106,72616.000,9239,3,PI,1,100,157319
1709495481.992107,72656.000,9255,3,PI,1,100,157138
1709495482.032107,72696.000,9255,3,PI,1,100,157156
1709495482.072108,72736.000,9255,3,PI,1,100,157212
1709495482.112108,72776.000,9271,2,PI,1,100,157382
1709495482.152109,72816.000,9271,2,PI,1,100,157484
1709495482.192109,72856.000,9287,3,PI,1,100,157440
1709495482.232110,72896.000,9287,3,PI,1,100,157280
1709495482.272110,72936.000,9287,3,PI,1,100,157264
1709495482.312111,72976.000,9304,2,PI,1,100,157354
1709495482.352111,73016.000,9304,2,PI,1,100,157509
1709495482.392111,73056.000,9323,3,PI,1,100,157653
1709495482.432112,73096.000,9323,3,PI,1,100,157788
1709495482.472112,73136.000,9323,3,PI,1,100,157903
1709495482.512113,73176.000,9339,2,PI,1,100,158047
1709495482.552113,73216.000,9339,2,PI,1,100,158151
1709495482.592114,73256.000,9354,3,PI,1,100,158252
1709495482.632114,73296.000,9354,3,PI,1,100,158365
1709495482.672115,73336.000,9354,3,PI,1,100,158441
1709495482.712115,73376.000,9372,2,PI,1,100,158514
1709495482.752116,73416.000,9372,2,PI,1,100,158624
1709495482.792116,73456.000,9388,3,PI,1,100,158775
1709495482.832116,73496.000,9388,3,PI,1,100,158978
1709495482.872117,73536.000,9388,3,PI,1,100,159125
1709495482.912117,73576.000,9405,2,PI,1,100,159031
1709495482.952118,73616.000,9405,2,PI,1,100,158251
1709495482.992118,73656.000,9420,3,PI,1,100,157376
1709495483.032119,73696.000,9420,3,PI,1,100,156918
1709495483.072119,73736.000,9420,3,PI,1,100,156837
1709495483.112120,73776.000,9437,2,PI,1,100,156867
1709495483.152120,73816.000,9437,2,PI,1,100,156930
1709495483.192121,73856.000,9453,3,PI,1,100,157083
1709495483.232121,73896.000,9453,3,PI,1,100,157090
1709495483.272121,73936.000,9453,3,PI,1,100,156997
1709495483.312122,73976.000,9470,3,PI,1,100,156903
